"Segment","Country","Product","Discount Band","Units Sold","Manufacturing Price","Sale Price","Gross Sales","Discounts","Net Sales","COGS","Profit","Segment_Processed","Country_Processed","Product_Processed","Discount Band_Processed","Units Sold_Processed","Manufacturing Price_Processed","Sale Price_Processed","Gross Sales_Processed","Discounts_Processed","Net Sales_Processed","COGS_Processed","Profit_Processed","Country_Cleaned","Segment_Cleaned","Product_Cleaned","Discount Band_Cleaned","Year","Month Number","Mounth Name","Discount_Percentage","Gross_Margin","Unit_Profit","NetSales_Check","Profit_Check","Data_Quality_Flag"
"Government","United States of America","Amarilla","None",1143,260,7,8001,0,8001,5715,2286,"government","united states of america","amarilla","none",1143,260,7,8001,0,8001,5715,2286,"united states of america","government","amarilla","none",2014,10,"October",0,0.2857142857142857,2,8001,2286,"Price_Error"
"Midmarket","United States of America","Amarilla","None",615,260,15,9225,0,9225,6150,3075,"midmarket","united states of america","amarilla","none",615,260,15,9225,0,9225,6150,3075,"united states of america","midmarket","amarilla","none",2014,12,"December",0,0.3333333333333333,5,9225,3075,"Price_Error"
"Government","France","Paseo","Low",3945,10,7,27615,276.15,27338.85,19725,7613.85,"government","france","paseo","low",3945,10,7,27615,276.15,27338.85,19725,7613.85,"france","government","paseo","low",2014,1,"January",0.009999999999999998,0.2784992784992785,1.9300000000000002,27338.85,7613.8499999999985,"Profit_Error"
"Midmarket","France","Paseo","Low",2296,10,15,34440,344.4,34095.6,22960,11135.6,"midmarket","france","paseo","low",2296,10,15,34440,344.4,34095.6,22960,11135.6,"france","midmarket","paseo","low",2014,2,"February",0.009999999999999998,0.3265993265993266,4.8500000000000005,34095.6,11135.599999999999,"Profit_Error"
"Government","France","Paseo","Low",1030,10,7,7210,72.1,7137.9,5150,1987.9,"government","france","paseo","low",1030,10,7,7210,72.1,7137.9,5150,1987.9,"france","government","paseo","low",2014,5,"May",0.009999999999999998,0.2784992784992785,1.9300000000000002,7137.9,1987.8999999999996,"Profit_Error"
"Government","France","Velo","Low",639,120,7,4473,44.73,4428.27,3195,1233.27,"government","france","velo","low",639,120,7,4473,44.73,4428.27,3195,1233.27,"france","government","velo","low",2014,11,"November",0.009999999999999998,0.27849927849927847,1.93,4428.27,1233.2700000000004,"Profit_Error"
"Government","Canada","VTT","Low",1326,250,7,9282,92.82,9189.18,6630,2559.18,"government","canada","vtt","low",1326,250,7,9282,92.82,9189.18,6630,2559.18,"canada","government","vtt","low",2014,3,"March",0.009999999999999998,0.27849927849927847,1.93,9189.18,2559.1800000000003,"Profit_Error"
"Government","United States of America","Carretera","Low",2529,3,7,17703,177.03,17525.97,12645,4880.97,"government","united states of america","carretera","low",2529,3,7,17703,177.03,17525.97,12645,4880.97,"united states of america","government","carretera","low",2014,7,"July",0.01,0.27849927849927847,1.9300000000000002,17525.97,4880.970000000001,"Profit_Error"
"Channel Partners","Canada","Carretera","Low",1445,3,12,17340,173.4,17166.6,4335,12831.6,"channel partners","canada","carretera","low",1445,3,12,17340,173.4,17166.6,4335,12831.6,"canada","channel partners","carretera","low",2014,9,"September",0.01,0.7474747474747475,8.88,17166.6,12831.599999999999,"Profit_Error"
"Midmarket","Mexico","Montana","Low",2214,5,15,33210,332.1,32877.9,22140,10737.9,"midmarket","mexico","montana","low",2214,5,15,33210,332.1,32877.9,22140,10737.9,"mexico","midmarket","montana","low",2014,3,"March",0.01,0.32659932659932656,4.85,32877.9,10737.900000000001,"Profit_Error"
"Government","France","Montana","Low",1375.5,5,20,27510,275.1,27234.9,13755,13479.9,"government","france","montana","low",1375.5,5,20,27510,275.1,27234.9,13755,13479.9,"france","government","montana","low",2014,7,"July",0.01,0.4949494949494949,9.799999999999999,27234.9,13479.900000000001,"Profit_Error"
"Government","Canada","Montana","Low",1830,5,7,12810,128.1,12681.9,9150,3531.9,"government","canada","montana","low",1830,5,7,12810,128.1,12681.9,9150,3531.9,"canada","government","montana","low",2014,8,"August",0.01,0.2784992784992785,1.9300000000000002,12681.9,3531.8999999999996,"Profit_Error"
"Midmarket","United States of America","Paseo","Low",1514,10,15,22710,227.1,22482.9,15140,7342.9,"midmarket","united states of america","paseo","low",1514,10,15,22710,227.1,22482.9,15140,7342.9,"united states of america","midmarket","paseo","low",2014,2,"February",0.01,0.32659932659932656,4.85,22482.9,7342.9000000000015,"Profit_Error"
"Government","United States of America","Paseo","Low",4492.5,10,7,31447.5,314.475,31133.025,22462.5,8670.525,"government","united states of america","paseo","low",4492.5,10,7,31447.5,314.475,31133.025,22462.5,8670.525,"united states of america","government","paseo","low",2014,4,"April",0.01,0.27849927849927847,1.93,31133.025,8670.525000000001,"Profit_Error"
"Midmarket","Germany","Paseo","Low",747,10,15,11205,112.05,11092.95,7470,3622.95,"midmarket","germany","paseo","low",747,10,15,11205,112.05,11092.95,7470,3622.95,"germany","midmarket","paseo","low",2014,9,"September",0.01,0.32659932659932656,4.85,11092.95,3622.9500000000007,"Profit_Error"
"Government","France","Velo","Low",3864,120,20,77280,772.8,76507.2,38640,37867.2,"government","france","velo","low",3864,120,20,77280,772.8,76507.2,38640,37867.2,"france","government","velo","low",2014,4,"April",0.01,0.4949494949494949,9.799999999999999,76507.2,37867.2,"Price_Error"
"Government","Mexico","Velo","Low",362,120,7,2534,25.34,2508.66,1810,698.66,"government","mexico","velo","low",362,120,7,2534,25.34,2508.66,1810,698.66,"mexico","government","velo","low",2014,5,"May",0.01,0.2784992784992785,1.93,2508.66,698.6599999999999,"Profit_Error"
"Government","Canada","Velo","Low",2092,120,7,14644,146.44,14497.56,10460,4037.56,"government","canada","velo","low",2092,120,7,14644,146.44,14497.56,10460,4037.56,"canada","government","velo","low",2013,11,"November",0.01,0.2784992784992785,1.93,14497.56,4037.5599999999995,"Profit_Error"
"Government","Germany","VTT","Low",263,250,7,1841,18.41,1822.59,1315,507.59,"government","germany","vtt","low",263,250,7,1841,18.41,1822.59,1315,507.59,"germany","government","vtt","low",2014,3,"March",0.01,0.2784992784992785,1.93,1822.59,507.5899999999999,"Profit_Error"
"Enterprise","United States of America","VTT","Low",727,250,125,90875,908.75,89966.25,87240,2726.25,"enterprise","united states of america","vtt","low",727,250,125,90875,908.75,89966.25,87240,2726.25,"united states of america","enterprise","vtt","low",2014,6,"June",0.01,0.030303030303030304,3.75,89966.25,2726.25,"Price_Error"
"Enterprise","France","VTT","Low",787,250,125,98375,983.75,97391.25,94440,2951.25,"enterprise","france","vtt","low",787,250,125,98375,983.75,97391.25,94440,2951.25,"france","enterprise","vtt","low",2014,6,"June",0.01,0.030303030303030304,3.75,97391.25,2951.25,"Price_Error"
"Enterprise","France","VTT","Low",1744,250,125,218000,2180,215820,209280,6540,"enterprise","france","vtt","low",1744,250,125,218000,2180,215820,209280,6540,"france","enterprise","vtt","low",2014,11,"November",0.01,0.030303030303030304,3.75,215820,6540,"Price_Error"
"Channel Partners","United States of America","Amarilla","Low",1989,260,12,23868,238.68,23629.32,5967,17662.32,"channel partners","united states of america","amarilla","low",1989,260,12,23868,238.68,23629.32,5967,17662.32,"united states of america","channel partners","amarilla","low",2013,9,"September",0.01,0.7474747474747475,8.879999999999999,23629.32,17662.32,"Price_Error"
"Midmarket","France","Amarilla","Low",321,260,15,4815,48.15,4766.85,3210,1556.85,"midmarket","france","amarilla","low",321,260,15,4815,48.15,4766.85,3210,1556.85,"france","midmarket","amarilla","low",2013,11,"November",0.01,0.32659932659932656,4.85,4766.85,1556.8500000000004,"Profit_Error"
"Government","France","Carretera","Low",2145,3,7,15015,300.3,14714.7,10725,3989.7,"government","france","carretera","low",2145,3,7,15015,300.3,14714.7,10725,3989.7,"france","government","carretera","low",2013,11,"November",0.02,0.27113702623906705,1.8599999999999999,14714.7,3989.7000000000007,"Profit_Error"
"Government","United States of America","Montana","Low",1566,5,20,31320,626.4,30693.6,15660,15033.6,"government","united states of america","montana","low",1566,5,20,31320,626.4,30693.6,15660,15033.6,"united states of america","government","montana","low",2014,10,"October",0.02,0.489795918367347,9.6,30693.6,15033.599999999999,"Profit_Error"
"Midmarket","Canada","Paseo","Low",2363,10,15,35445,708.9,34736.1,23630,11106.1,"midmarket","canada","paseo","low",2363,10,15,35445,708.9,34736.1,23630,11106.1,"canada","midmarket","paseo","low",2014,2,"February",0.02,0.3197278911564626,4.7,34736.1,11106.099999999999,"Profit_Error"
"Channel Partners","France","Paseo","Low",1785,10,12,21420,428.4,20991.6,5355,15636.6,"channel partners","france","paseo","low",1785,10,12,21420,428.4,20991.6,5355,15636.6,"france","channel partners","paseo","low",2013,11,"November",0.02,0.7448979591836735,8.76,20991.6,15636.599999999999,"Profit_Error"
"Government","United States of America","Paseo","Low",2013,10,7,14091,281.82,13809.18,10065,3744.18,"government","united states of america","paseo","low",2013,10,7,14091,281.82,13809.18,10065,3744.18,"united states of america","government","paseo","low",2013,12,"December",0.02,0.27113702623906705,1.8599999999999999,13809.18,3744.1800000000003,"Profit_Error"
"Government","United States of America","Velo","Low",1566,120,20,31320,626.4,30693.6,15660,15033.6,"government","united states of america","velo","low",1566,120,20,31320,626.4,30693.6,15660,15033.6,"united states of america","government","velo","low",2014,10,"October",0.02,0.489795918367347,9.6,30693.6,15033.599999999999,"Profit_Error"
"Channel Partners","France","Velo","Low",1055,120,12,12660,253.2,12406.8,3165,9241.8,"channel partners","france","velo","low",1055,120,12,12660,253.2,12406.8,3165,9241.8,"france","channel partners","velo","low",2014,12,"December",0.02,0.7448979591836734,8.76,12406.8,9241.8,"Price_Error"
"Government","Mexico","Velo","Low",544,120,20,10880,217.6,10662.4,5440,5222.4,"government","mexico","velo","low",544,120,20,10880,217.6,10662.4,5440,5222.4,"mexico","government","velo","low",2013,12,"December",0.02,0.4897959183673469,9.6,10662.4,5222.4,"Price_Error"
"Channel Partners","Mexico","Velo","Low",1084,120,12,13008,260.16,12747.84,3252,9495.84,"channel partners","mexico","velo","low",1084,120,12,13008,260.16,12747.84,3252,9495.84,"mexico","channel partners","velo","low",2014,12,"December",0.02,0.7448979591836735,8.76,12747.84,9495.84,"Price_Error"
"Enterprise","Mexico","VTT","Low",662,250,125,82750,1655,81095,79440,1655,"enterprise","mexico","vtt","low",662,250,125,82750,1655,81095,79440,1655,"mexico","enterprise","vtt","low",2014,6,"June",0.02,0.02040816326530612,2.5,81095,1655,"Price_Error"
"Enterprise","Canada","VTT","Low",2729,250,125,341125,6822.5,334302.5,327480,6822.5,"enterprise","canada","vtt","low",2729,250,125,341125,6822.5,334302.5,327480,6822.5,"canada","enterprise","vtt","low",2014,12,"December",0.02,0.02040816326530612,2.5,334302.5,6822.5,"Price_Error"
"Enterprise","Germany","Amarilla","Low",2276,260,125,284500,5690,278810,273120,5690,"enterprise","germany","amarilla","low",2276,260,125,284500,5690,278810,273120,5690,"germany","enterprise","amarilla","low",2014,5,"May",0.02,0.02040816326530612,2.5,278810,5690,"Price_Error"
"Government","United States of America","Amarilla","Low",1236,260,20,24720,494.4,24225.6,12360,11865.6,"government","united states of america","amarilla","low",1236,260,20,24720,494.4,24225.6,12360,11865.6,"united states of america","government","amarilla","low",2014,11,"November",0.02,0.489795918367347,9.6,24225.6,11865.599999999999,"Profit_Error"
"Government","France","Amarilla","Low",941,260,20,18820,376.4,18443.6,9410,9033.6,"government","france","amarilla","low",941,260,20,18820,376.4,18443.6,9410,9033.6,"france","government","amarilla","low",2014,11,"November",0.02,0.489795918367347,9.6,18443.6,9033.599999999999,"Profit_Error"
"Channel Partners","Canada","Carretera","Low",908,3,12,10896,326.88,10569.12,2724,7845.12,"channel partners","canada","carretera","low",908,3,12,10896,326.88,10569.12,2724,7845.12,"canada","channel partners","carretera","low",2013,12,"December",0.03,0.7422680412371133,8.64,10569.12,7845.120000000001,"Profit_Error"
"Government","Germany","Montana","Low",1958,5,7,13706,411.18,13294.82,9790,3504.82,"government","germany","montana","low",1958,5,7,13706,411.18,13294.82,9790,3504.82,"germany","government","montana","low",2014,2,"February",0.03,0.26362297496318116,1.79,13294.82,3504.8199999999997,"Profit_Error"
"Government","France","Montana","Low",544,5,7,3808,114.24,3693.76,2720,973.76,"government","france","montana","low",544,5,7,3808,114.24,3693.76,2720,973.76,"france","government","montana","low",2014,9,"September",0.03,0.26362297496318116,1.79,3693.76,973.7600000000002,"Profit_Error"
"Channel Partners","Mexico","VTT","Low",1916,250,12,22992,689.76,22302.24,5748,16554.24,"channel partners","mexico","vtt","low",1916,250,12,22992,689.76,22302.24,5748,16554.24,"mexico","channel partners","vtt","low",2014,4,"April",0.03,0.7422680412371134,8.64,22302.24,16554.24,"Price_Error"
"Enterprise","Germany","VTT","Low",1570,250,125,196250,5887.5,190362.5,188400,1962.5,"enterprise","germany","vtt","low",1570,250,125,196250,5887.5,190362.5,188400,1962.5,"germany","enterprise","vtt","low",2014,6,"June",0.03,0.010309278350515464,1.25,190362.5,1962.5,"Price_Error"
"Midmarket","Germany","VTT","Low",1945,250,15,29175,875.25,28299.75,19450,8849.75,"midmarket","germany","vtt","low",1945,250,15,29175,875.25,28299.75,19450,8849.75,"germany","midmarket","vtt","low",2013,10,"October",0.03,0.3127147766323024,4.55,28299.75,8849.75,"Price_Error"
"Government","Mexico","Paseo","Low",1760,10,7,12320,369.6,11950.4,8800,3150.4,"government","mexico","paseo","low",1760,10,7,12320,369.6,11950.4,8800,3150.4,"mexico","government","paseo","low",2013,9,"September",0.030000000000000002,0.26362297496318116,1.79,11950.4,3150.3999999999996,"Profit_Error"
"Government","Canada","Velo","Low",3850.5,120,20,77010,2310.3,74699.7,38505,36194.7,"government","canada","velo","low",3850.5,120,20,77010,2310.3,74699.7,38505,36194.7,"canada","government","velo","low",2014,4,"April",0.030000000000000002,0.4845360824742268,9.399999999999999,74699.7,36194.7,"Price_Error"
"Channel Partners","Germany","VTT","Low",2479,250,12,29748,892.44,28855.56,7437,21418.56,"channel partners","germany","vtt","low",2479,250,12,29748,892.44,28855.56,7437,21418.56,"germany","channel partners","vtt","low",2014,1,"January",0.030000000000000002,0.7422680412371134,8.64,28855.56,21418.56,"Price_Error"
"Midmarket","Mexico","Montana","Low",2031,5,15,30465,1218.6,29246.4,20310,8936.4,"midmarket","mexico","montana","low",2031,5,15,30465,1218.6,29246.4,20310,8936.4,"mexico","midmarket","montana","low",2014,10,"October",0.039999999999999994,0.3055555555555555,4.3999999999999995,29246.4,8936.400000000001,"Profit_Error"
"Midmarket","Mexico","Paseo","Low",2031,10,15,30465,1218.6,29246.4,20310,8936.4,"midmarket","mexico","paseo","low",2031,10,15,30465,1218.6,29246.4,20310,8936.4,"mexico","midmarket","paseo","low",2014,10,"October",0.039999999999999994,0.3055555555555555,4.3999999999999995,29246.4,8936.400000000001,"Profit_Error"
"Midmarket","France","Paseo","Low",2261,10,15,33915,1356.6,32558.4,22610,9948.4,"midmarket","france","paseo","low",2261,10,15,33915,1356.6,32558.4,22610,9948.4,"france","midmarket","paseo","low",2013,12,"December",0.039999999999999994,0.3055555555555555,4.3999999999999995,32558.4,9948.400000000001,"Profit_Error"
"Government","United States of America","Velo","Low",736,120,20,14720,588.8,14131.2,7360,6771.2,"government","united states of america","velo","low",736,120,20,14720,588.8,14131.2,7360,6771.2,"united states of america","government","velo","low",2013,9,"September",0.039999999999999994,0.47916666666666663,9.2,14131.2,6771.200000000001,"Profit_Error"
"Government","Canada","Carretera","Low",2851,3,7,19957,798.28,19158.72,14255,4903.72,"government","canada","carretera","low",2851,3,7,19957,798.28,19158.72,14255,4903.72,"canada","government","carretera","low",2013,10,"October",0.04,0.25595238095238093,1.7200000000000002,19158.72,4903.720000000001,"Profit_Error"
"Government","Canada","Montana","Low",2851,5,7,19957,798.28,19158.72,14255,4903.72,"government","canada","montana","low",2851,5,7,19957,798.28,19158.72,14255,4903.72,"canada","government","montana","low",2013,10,"October",0.04,0.25595238095238093,1.7200000000000002,19158.72,4903.720000000001,"Profit_Error"
"Government","Canada","Paseo","Low",4251,10,7,29757,1190.28,28566.72,21255,7311.72,"government","canada","paseo","low",4251,10,7,29757,1190.28,28566.72,21255,7311.72,"canada","government","paseo","low",2014,1,"January",0.04,0.25595238095238093,1.72,28566.72,7311.720000000001,"Profit_Error"
"Midmarket","Canada","Paseo","Low",218,10,15,3270,130.8,3139.2,2180,959.2,"midmarket","canada","paseo","low",218,10,15,3270,130.8,3139.2,2180,959.2,"canada","midmarket","paseo","low",2014,9,"September",0.04,0.3055555555555556,4.4,3139.2,959.1999999999998,"Profit_Error"
"Government","Canada","Paseo","Low",2074,10,20,41480,1659.2,39820.8,20740,19080.8,"government","canada","paseo","low",2074,10,20,41480,1659.2,39820.8,20740,19080.8,"canada","government","paseo","low",2014,9,"September",0.04,0.47916666666666663,9.2,39820.8,19080.800000000003,"Profit_Error"
"Midmarket","United States of America","Paseo","Low",671,10,15,10065,402.6,9662.4,6710,2952.4,"midmarket","united states of america","paseo","low",671,10,15,10065,402.6,9662.4,6710,2952.4,"united states of america","midmarket","paseo","low",2013,10,"October",0.04,0.3055555555555556,4.4,9662.4,2952.3999999999996,"Profit_Error"
"Midmarket","Mexico","Paseo","Low",1514,10,15,22710,908.4,21801.6,15140,6661.6,"midmarket","mexico","paseo","low",1514,10,15,22710,908.4,21801.6,15140,6661.6,"mexico","midmarket","paseo","low",2013,10,"October",0.04,0.3055555555555556,4.4,21801.6,6661.5999999999985,"Profit_Error"
"Channel Partners","United States of America","Velo","Low",1465,120,12,17580,703.2,16876.8,4395,12481.8,"channel partners","united states of america","velo","low",1465,120,12,17580,703.2,16876.8,4395,12481.8,"united states of america","channel partners","velo","low",2014,3,"March",0.04,0.7395833333333334,8.52,16876.8,12481.8,"Price_Error"
"Government","Canada","Velo","Low",2646,120,20,52920,2116.8,50803.2,26460,24343.2,"government","canada","velo","low",2646,120,20,52920,2116.8,50803.2,26460,24343.2,"canada","government","velo","low",2013,9,"September",0.04,0.4791666666666667,9.200000000000001,50803.2,24343.199999999997,"Profit_Error"
"Channel Partners","France","VTT","Low",866,250,12,10392,415.68,9976.32,2598,7378.32,"channel partners","france","vtt","low",866,250,12,10392,415.68,9976.32,2598,7378.32,"france","channel partners","vtt","low",2014,5,"May",0.04,0.7395833333333334,8.52,9976.32,7378.32,"Price_Error"
"Midmarket","Mexico","VTT","Low",1514,250,15,22710,908.4,21801.6,15140,6661.6,"midmarket","mexico","vtt","low",1514,250,15,22710,908.4,21801.6,15140,6661.6,"mexico","midmarket","vtt","low",2013,10,"October",0.04,0.3055555555555556,4.4,21801.6,6661.5999999999985,"Profit_Error"
"Enterprise","Mexico","Amarilla","Low",1074,260,125,134250,5370,128880,128880,0,"enterprise","mexico","amarilla","low",1074,260,125,134250,5370,128880,128880,0,"mexico","enterprise","amarilla","low",2014,4,"April",0.04,0,0,128880,0,"Price_Error"
"Midmarket","United States of America","Amarilla","Low",671,260,15,10065,402.6,9662.4,6710,2952.4,"midmarket","united states of america","amarilla","low",671,260,15,10065,402.6,9662.4,6710,2952.4,"united states of america","midmarket","amarilla","low",2013,10,"October",0.04,0.3055555555555556,4.4,9662.4,2952.3999999999996,"Profit_Error"
"Government","Germany","Montana","Medium",1159,5,7,8113,405.65,7707.35,5795,1912.35,"government","germany","montana","medium",1159,5,7,8113,405.65,7707.35,5795,1912.35,"germany","government","montana","medium",2013,10,"October",0.049999999999999996,0.24812030075187969,1.65,7707.35,1912.3500000000004,"Profit_Error"
"Government","Germany","Paseo","Medium",1372,10,7,9604,480.2,9123.8,6860,2263.8,"government","germany","paseo","medium",1372,10,7,9604,480.2,9123.8,6860,2263.8,"germany","government","paseo","medium",2014,1,"January",0.049999999999999996,0.24812030075187974,1.6500000000000001,9123.8,2263.7999999999993,"Profit_Error"
"Government","Canada","Paseo","Medium",2349,10,7,16443,822.15,15620.85,11745,3875.85,"government","canada","paseo","medium",2349,10,7,16443,822.15,15620.85,11745,3875.85,"canada","government","paseo","medium",2013,9,"September",0.049999999999999996,0.24812030075187969,1.65,15620.85,3875.8500000000004,"Profit_Error"
"Government","Mexico","Paseo","Medium",2689,10,7,18823,941.15,17881.85,13445,4436.85,"government","mexico","paseo","medium",2689,10,7,18823,941.15,17881.85,13445,4436.85,"mexico","government","paseo","medium",2014,10,"October",0.049999999999999996,0.24812030075187974,1.6500000000000001,17881.85,4436.8499999999985,"Profit_Error"
"Channel Partners","Canada","Velo","Medium",2431,120,12,29172,1458.6,27713.4,7293,20420.4,"channel partners","canada","velo","medium",2431,120,12,29172,1458.6,27713.4,7293,20420.4,"canada","channel partners","velo","medium",2014,12,"December",0.049999999999999996,0.7368421052631579,8.4,27713.4,20420.4,"Price_Error"
"Government","Mexico","VTT","Medium",2689,250,7,18823,941.15,17881.85,13445,4436.85,"government","mexico","vtt","medium",2689,250,7,18823,941.15,17881.85,13445,4436.85,"mexico","government","vtt","medium",2014,10,"October",0.049999999999999996,0.24812030075187974,1.6500000000000001,17881.85,4436.8499999999985,"Profit_Error"
"Government","Mexico","Amarilla","Medium",1683,260,7,11781,589.05,11191.95,8415,2776.95,"government","mexico","amarilla","medium",1683,260,7,11781,589.05,11191.95,8415,2776.95,"mexico","government","amarilla","medium",2014,7,"July",0.049999999999999996,0.24812030075187966,1.65,11191.95,2776.9500000000007,"Profit_Error"
"Channel Partners","Mexico","Amarilla","Medium",1123,260,12,13476,673.8,12802.2,3369,9433.2,"channel partners","mexico","amarilla","medium",1123,260,12,13476,673.8,12802.2,3369,9433.2,"mexico","channel partners","amarilla","medium",2014,8,"August",0.049999999999999996,0.736842105263158,8.4,12802.2,9433.2,"Price_Error"
"Government","Germany","Amarilla","Medium",1159,260,7,8113,405.65,7707.35,5795,1912.35,"government","germany","amarilla","medium",1159,260,7,8113,405.65,7707.35,5795,1912.35,"germany","government","amarilla","medium",2013,10,"October",0.049999999999999996,0.24812030075187969,1.65,7707.35,1912.3500000000004,"Profit_Error"
"Government","Germany","Carretera","Medium",1016,3,7,7112,355.6,6756.4,5080,1676.4,"government","germany","carretera","medium",1016,3,7,7112,355.6,6756.4,5080,1676.4,"germany","government","carretera","medium",2013,11,"November",0.05,0.2481203007518797,1.6500000000000001,6756.4,1676.3999999999996,"Profit_Error"
"Government","France","Carretera","Medium",2487,3,7,17409,870.45,16538.55,12435,4103.55,"government","france","carretera","medium",2487,3,7,17409,870.45,16538.55,12435,4103.55,"france","government","carretera","medium",2014,12,"December",0.05,0.2481203007518797,1.6500000000000001,16538.55,4103.549999999999,"Profit_Error"
"Government","United States of America","Paseo","Medium",2327,10,7,16289,814.45,15474.55,11635,3839.55,"government","united states of america","paseo","medium",2327,10,7,16289,814.45,15474.55,11635,3839.55,"united states of america","government","paseo","medium",2014,5,"May",0.05,0.2481203007518797,1.6500000000000001,15474.55,3839.5499999999993,"Profit_Error"
"Government","France","Paseo","Medium",2136,10,7,14952,747.6,14204.4,10680,3524.4,"government","france","paseo","medium",2136,10,7,14952,747.6,14204.4,10680,3524.4,"france","government","paseo","medium",2013,12,"December",0.05,0.2481203007518797,1.6500000000000001,14204.4,3524.3999999999996,"Profit_Error"
"Midmarket","United States of America","Velo","Medium",555,120,15,8325,416.25,7908.75,5550,2358.75,"midmarket","united states of america","velo","medium",555,120,15,8325,416.25,7908.75,5550,2358.75,"united states of america","midmarket","velo","medium",2014,1,"January",0.05,0.2982456140350877,4.25,7908.75,2358.75,"Price_Error"
"Midmarket","Mexico","Velo","Medium",2861,120,15,42915,2145.75,40769.25,28610,12159.25,"midmarket","mexico","velo","medium",2861,120,15,42915,2145.75,40769.25,28610,12159.25,"mexico","midmarket","velo","medium",2014,1,"January",0.05,0.2982456140350877,4.25,40769.25,12159.25,"Price_Error"
"Government","United States of America","Velo","Medium",2832,120,20,56640,2832,53808,28320,25488,"government","united states of america","velo","medium",2832,120,20,56640,2832,53808,28320,25488,"united states of america","government","velo","medium",2014,8,"August",0.05,0.47368421052631576,9,53808,25488,"Price_Error"
